State_id,State code,State,State_name
1,0,US,United States
2,0,US,United States
3,0,US,United States
4,0,US,United States
5,0,US,United States
6,0,US,United States
7,0,US,United States
8,1,AL,Alabama
9,1,AL,Alabama
10,1,AL,Alabama
11,1,AL,Alabama
12,1,AL,Alabama
13,1,AL,Alabama
14,1,AL,Alabama
15,1,AL,Alabama
16,1,AL,Alabama
17,1,AL,Alabama
18,1,AL,Alabama
19,1,AL,Alabama
20,1,AL,Alabama
21,1,AL,Alabama
22,1,AL,Alabama
23,1,AL,Alabama
24,1,AL,Alabama
25,1,AL,Alabama
26,1,AL,Alabama
27,1,AL,Alabama
28,1,AL,Alabama
29,1,AL,Alabama
30,1,AL,Alabama
31,1,AL,Alabama
32,1,AL,Alabama
33,1,AL,Alabama
34,1,AL,Alabama
35,1,AL,Alabama
36,1,AL,Alabama
37,1,AL,Alabama
38,1,AL,Alabama
39,1,AL,Alabama
40,1,AL,Alabama
41,1,AL,Alabama
42,1,AL,Alabama
43,1,AL,Alabama
44,1,AL,Alabama
45,1,AL,Alabama
46,1,AL,Alabama
47,1,AL,Alabama
48,1,AL,Alabama
49,1,AL,Alabama
50,1,AL,Alabama
51,1,AL,Alabama
52,1,AL,Alabama
53,1,AL,Alabama
54,1,AL,Alabama
55,1,AL,Alabama
56,1,AL,Alabama
57,1,AL,Alabama
58,1,AL,Alabama
59,1,AL,Alabama
60,1,AL,Alabama
61,1,AL,Alabama
62,1,AL,Alabama
63,1,AL,Alabama
64,1,AL,Alabama
65,1,AL,Alabama
66,1,AL,Alabama
67,1,AL,Alabama
68,1,AL,Alabama
69,1,AL,Alabama
70,1,AL,Alabama
71,1,AL,Alabama
72,1,AL,Alabama
73,1,AL,Alabama
74,1,AL,Alabama
75,1,AL,Alabama
76,1,AL,Alabama
77,1,AL,Alabama
78,1,AL,Alabama
79,1,AL,Alabama
80,1,AL,Alabama
81,1,AL,Alabama
82,1,AL,Alabama
83,1,AL,Alabama
84,1,AL,Alabama
85,1,AL,Alabama
86,1,AL,Alabama
87,1,AL,Alabama
88,1,AL,Alabama
89,1,AL,Alabama
90,1,AL,Alabama
91,1,AL,Alabama
92,1,AL,Alabama
93,1,AL,Alabama
94,1,AL,Alabama
95,1,AL,Alabama
96,1,AL,Alabama
97,1,AL,Alabama
98,1,AL,Alabama
99,1,AL,Alabama
100,1,AL,Alabama
101,1,AL,Alabama
102,1,AL,Alabama
103,1,AL,Alabama
104,1,AL,Alabama
105,1,AL,Alabama
106,1,AL,Alabama
107,1,AL,Alabama
108,1,AL,Alabama
109,1,AL,Alabama
110,1,AL,Alabama
111,1,AL,Alabama
112,1,AL,Alabama
113,1,AL,Alabama
114,1,AL,Alabama
115,1,AL,Alabama
116,1,AL,Alabama
117,1,AL,Alabama
118,1,AL,Alabama
119,1,AL,Alabama
120,1,AL,Alabama
121,1,AL,Alabama
122,1,AL,Alabama
123,1,AL,Alabama
124,1,AL,Alabama
125,1,AL,Alabama
126,1,AL,Alabama
127,1,AL,Alabama
128,1,AL,Alabama
129,1,AL,Alabama
130,1,AL,Alabama
131,1,AL,Alabama
132,1,AL,Alabama
133,1,AL,Alabama
134,1,AL,Alabama
135,1,AL,Alabama
136,1,AL,Alabama
137,1,AL,Alabama
138,1,AL,Alabama
139,1,AL,Alabama
140,1,AL,Alabama
141,1,AL,Alabama
142,1,AL,Alabama
143,1,AL,Alabama
144,1,AL,Alabama
145,1,AL,Alabama
146,1,AL,Alabama
147,1,AL,Alabama
148,1,AL,Alabama
149,1,AL,Alabama
150,1,AL,Alabama
151,1,AL,Alabama
152,1,AL,Alabama
153,1,AL,Alabama
154,1,AL,Alabama
155,1,AL,Alabama
156,1,AL,Alabama
157,1,AL,Alabama
158,1,AL,Alabama
159,1,AL,Alabama
160,1,AL,Alabama
161,1,AL,Alabama
162,1,AL,Alabama
163,1,AL,Alabama
164,1,AL,Alabama
165,1,AL,Alabama
166,1,AL,Alabama
167,1,AL,Alabama
168,1,AL,Alabama
169,1,AL,Alabama
170,1,AL,Alabama
171,1,AL,Alabama
172,1,AL,Alabama
173,1,AL,Alabama
174,1,AL,Alabama
